venuename,teams,year,totalcost,publiccost,totalcost2020,publiccost2020,pubpct100,stadium,arena,source
Detroit Olympia,Detroit Pistons & Red Wings,1927,3,0,44.610001,0,0,0,1,Long (2013)
Boston Garden,Boston Cetics & Bruins,1928,10,0,151.39999,0,0,0,1,Long (2013)
Chicago Stadium,Chicago Bulls & Blackhawks,1929,7,0,105.98,0,0,0,1,Long (2013)
St. Louis Arena,St. Louis Hawks & Blues,1929,2,0,30.280001,0,0,0,1,Long (2013)
Cotton Bowl,Dallas Texans & Cowboys,1930,.32800001,0,5.0840001,0,0,1,0,Long (2013)
Philadelphia Convention Hall,Philadelphia Warriors & 76ers,1930,,,,,,0,1,Long (2013)
Green Bay City Stadium,Green Bay Packers,1931,,,,,,1,0,Long (2013)
Maple Leaf Garden,Toronto Maple Leafs,1931,2,0,34.060001,0,0,0,1,Long (2013)
Cleveland Municipal Stadium,Cleveland Indians & Rams,1932,4,4,75.559998,75.559998,100,1,0,Long (2013)
Municipal Auditorium,St. Louis Hawks,1934,4,4,77.239998,77.239998,100,0,1,Long (2013)
War Memorial Stadium,Buffalo Bills,1937,3,3,53.91,53.91,100,1,0,Long (2013)
Orange Bowl,Miami Dolphins,1938,.34,.34,6.2424002,6.2424002,100,1,0,"Long (2013), https://www.stadiumsofprofootball.com/stadiums/orange-bowl/"
Memorial Auditorium,Buffalo Braves & Sabres,1940,3,3,55.470001,55.470001,100,0,1,Long (2013)
Cow Palace,San Francisco Warriors,1941,,,,,,0,1,Long (2013)
Cincinnati Gardens,Cincinnati Royals,1949,3,0,32.610001,0,0,0,1,Long (2013)
Colisee de Quebec,Quebec Nordiques,1949,,,,,,0,1,Long (2013)
Milwaukee Arena,Milwaukee Hawks,1950,,,,,,0,1,Long (2013)
War Memorial Coliseum,Fort Wayne Pistons,1952,,,,,,0,1,Long (2013)
Memorial Stadium,Baltimore Orioles & Colts,1953,6,6,58.139999,58.139999,100,1,0,Long (2013)
Milwaukee County Stadium,Milwaukee Braves & Green Bay Packers,1953,5,5,48.450001,48.450001,100,1,0,Long (2013)
Metropolitan Stadium,Minnesota Twins & Vikings,1956,9,9,85.68,85.68,100,1,0,Long (2013)
Lambeau Field,Green Bay Packers,1957,1,1,9.21,9.21,100,1,0,"Long (2013), https://www.postcrescent.com/story/news/2014/03/11/packers-add-25-million-more-to-lambeau-field-renovation/6289973/"
Sun Devil Stadium,Arizona Cardinals,1958,12,0,107.52,0,0,1,0,Long (2013)
Los Angeles Memorial Sports Arena,Los Angeles Lakers & Clippers,1959,7,7,62.23,62.23,100,0,1,Long (2013)
Candlestick Park,San Francisco Giants & 49ers,1960,11,11,96.139999,96.139999,100,1,0,Long (2013)
Veterans Memorial Coliseum,Portland Trail Blazers,1960,8,8,69.919998,69.919998,100,0,1,"Long (2013), Funding: https://www.oregonencyclopedia.org/articles/memorial_coliseum/#.YlnGIejMJPY"
Civic Arena,Pittsburgh Penguins,1961,22,22,190.52,190.52,100,0,1,Long (2013)
Cobo Arena,Detroit Pistons,1961,,,,,,0,1,Long (2013)
RFK Stadium,Washington Senators & Redskins,1961,22,22,190.52,190.52,100,1,0,Long (2013)
Baltimore Civic Center,Baltimore Bullets,1962,,,,,,0,1,Long (2013)
Dodger Stadium,Los Angeles Dodgers,1962,27,7,231.39,59.990002,25.925926,1,0,"Long (2013), https://www.archpaper.com/2020/07/renovation-of-dodger-stadium-complete/"
Key Arena,Seattle Sonics,1962,,,,,,0,1,"Long (2013), https://www.seattletimes.com/sports/kraken/after-1-15-billion-renovation-seattles-climate-pledge-arena-will-surprise-people-in-the-greatest-way/"
Shea Stadium,New York Mets & Jets,1964,24,24,200.39999,200.39999,100,1,0,Long (2013)
Arizona Veterans Memorial Coliseum,Phoenix Suns,1965,,,,,,0,1,Long (2013)
Arlington Stadium,Texas Rangers,1965,2,2,16.440001,16.440001,100,1,0,Long (2013)
Astrodome,Houston Astros & Oilers,1965,38,38,312.35999,312.35999,100,1,0,Long (2013)
Atlanta-Fulton County Stadium,Atlanta Braves & Falcons,1965,19,19,156.17999,156.17999,100,1,0,Long (2013)
Angel Stadium,Los Angeles Angels & Rams,1966,25,24,199.75,191.75999,96,1,0,Long (2013)
Busch Memorial Stadium,St. Louis Cardinals (MLB & NFL),1966,26,6,207.74001,47.939999,23.076923,1,0,Long (2013)
Oakland Arena,Golden State Warriors & California Golden Seals,1966,26,26,207.74001,207.74001,100,0,1,Long (2013)
RingCentral Coliseum,Oakland Athletics,1966,30,30,239.7,239.7,100,1,0,Long (2013)
San Diego Sports Arena,San Diego Rockets,1966,7,7,55.93,55.93,100,0,1,Long (2013)
Great West Forum,Los Angeles Lakers & Kings,1967,16,0,124,0,0,0,1,Long (2013)
Jack Murphy Stadium,San Diego Padres & Chargers,1967,28,28,217,217,100,1,0,Long (2013)
Metropolitan Sports Center,Minnesota North Stars,1967,6,6,46.5,46.5,100,0,1,Long (2013)
Pacific Coliseum,Vancouver Canucks,1967,6,5,46.5,38.75,83.333336,0,1,Long (2013)
Tampa Stadium,Tampa Bay Buccaneers,1967,5,5,38.75,38.75,100,1,0,Long (2013)
The Spectrum,Philadelphia 76ers & Flyers,1967,12,0,93,0,0,0,1,Long (2013)
HemisFair Arena,San Antonia Spurs,1968,,,,,,0,1,Long (2013)
Madison Square Gardens,New York Knicks & Rangers,1968,133,0,989.52002,0,0,0,1,"Long (2013), https://www.espn.com/new-york/nba/story/_/id/9874414/madison-square-garden-unveils-new-features-part-1-billion-renovation"
Mile High Stadium*,Denver Broncos,1968,,,,,,1,0,Baim (1994)
Salt Palace,Utah Jazz,1969,17,0,119.85,0,0,0,1,Long (2013)
Riverfront Stadium,Cincinnati Reds & Bengals,1970,56,56,373.51999,373.51999,100,1,0,Long (2013)
Three Rivers Stadium,Pittsburgh Pirates & Steelers,1970,55,55,366.85001,366.85001,100,1,0,Long (2013)
Foxboro Stadium,New England Patriots,1971,7,0,44.73,0,0,1,0,Long (2013)
Texas Stadium,Dallas Cowboys,1971,35,30,223.64999,191.7,85.714287,1,0,Long (2013)
Veterans Stadium,Philadelphia Phillies & Eagles,1971,48,48,306.72,306.72,100,1,0,Long (2013)
GEHA Field at Arrowhead Stadium,Kansas City Chiefs,1972,33,28,204.27,173.32001,84.848488,1,0,Long (2013)
Nassau Veterans Memorial Coliseum,New York Islanders,1972,31,31,191.89,191.89,100,0,1,Long (2013)
The Omni,Atlanta Hawks & Flames,1972,17,17,105.23,105.23,100,0,1,Long (2013)
Capital Center,Washington Wizards & Capitals,1973,18,0,104.94,0,0,0,1,Long (2013)
Highmark Stadium,Buffalo Bills,1973,22,22,128.25999,128.25999,100,1,0,"Long (2013), https://populous.com/project/ralph-wilson-stadium-renovations"
Kauffman Stadium,Kansas City Royals,1973,37,28,215.71001,163.24001,75.675674,1,0,Long (2013)
Kemper Arena,Kansas City Kings,1974,22,22,115.5,115.5,100,0,1,Long (2013)
Market Square Arena,Indiana Pacers,1974,16,16,84,84,100,0,1,Long (2013)
Northlands Coliseum,Edmonton Oilers,1974,54,54,283.5,283.5,100,0,1,Long (2013)
Richfield Coliseum,Cleveland Cavaliers,1974,45,45,236.25,236.25,100,0,1,Long (2013)
Caesars Superdome,New Orleans Saints,1975,163,163,784.03003,784.03003,100,1,0,Long (2013)
Hartford Civic Center Arena,Hartford Whalers,1975,35,35,168.35001,168.35001,100,0,1,Long (2013)
McNichols Arena,Denver Nuggets,1975,13,13,62.529999,62.529999,100,0,1,Long (2013)
Pontiac Silverdome,Detroit Lions,1975,56,56,269.35999,269.35999,100,1,0,Long (2013)
The Summit,Houston Rockets,1975,18,18,86.580002,86.580002,100,0,1,Long (2013)
Exhibition Stadium,Toronto Blue Jays,1976,18,18,81.900002,81.900002,100,1,0,Long (2013)
Giants Stadium,New York Giants & Jets,1976,68,68,309.39999,309.39999,100,1,0,Long (2013)
Kingdome,Seattle Mariners & Seahawks & SuperSonics,1976,67,67,304.85001,304.85001,100,1,0,Long (2013)
Olympic Stadium,Montreal Expos,1976,539,270,2452.45,1228.5,50.092766,1,0,Long (2013)
Joe Louis Arena,Detroit Red Wings,1979,57,57,202.92,202.92,100,0,1,Long (2013)
Reunion Arena,Dallas Mavericks,1980,27,27,84.779999,84.779999,100,0,1,Long (2013)
Brendan Byrne Arena,New Jersey Nets & Devils,1981,85,85,242.25,242.25,100,0,1,Long (2013)
The Metrodome,"Minnesota Twins, & Vikings &  Timberwolves",1982,71,64,190.28,171.52,90.140846,1,0,Long (2013)
Hoosier Dome,Indianapolis Colts,1983,77,47,200.2,122.2,61.03896,1,0,Long (2013)
Scotiabank Saddledome,Calgary Flames,1983,100,100,260,260,100,0,1,"Long (2013), https://www.cbc.ca/news/canada/calgary/calgary-saddledome-nhl-arenas-1.4284445"
Hard Rock Stadium,Miami Dolphins & Florida Marlins,1987,115,0,262.20001,0,0,1,0,"Long (2013), https://www.architectmagazine.com/project-gallery/hard-rock-stadium_o"
ARCO Arena,Sacramento Kings,1988,40,0,87.599998,0,0,0,1,Long (2013)
Bradley Center,Milwaukee Bucks,1988,84,0,183.96001,0,0,0,1,Long (2013)
Charlotte Coliseum,Charlotte Hornets,1988,58,58,127.02,127.02,100,0,1,Long (2013)
Miami Arena,Miami Heat & Florida Panthers,1988,53,53,116.07,116.07,100,0,1,Long (2013)
The Palace of Auburn Hills,Detroit Pistons,1988,70,0,153.3,0,0,0,1,Long (2013)
Orlando Arena,Orlando Magic,1989,110,110,229.89999,229.89999,100,0,1,Long (2013)
Rogers Centre,Toronto Blue Jays,1989,413,194,863.16998,405.45999,46.973366,1,0,Long (2013)
Target Center,Minnesota Timberwolves,1990,104,55,205.92,108.9,52.884617,0,1,"Long (2013), https://www.nba.com/timberwolves/target-center-officially-reopens-following-completion-renovation"
Tropicana Field,Tampa Bay Rays,1990,162,148,320.76001,293.04001,91.358025,1,0,Long (2013)
Guaranteed Rate Field,Chicago White Sox,1991,187,157,355.29999,298.29999,83.957222,1,0,Long (2013)
Vivint Arena,Utah Jazz,1991,94,0,178.60001,0,0,0,1,"Long (2013), https://www.vivintarena.com/arena/"
Footprint Center,Phoenix Suns,1992,83,28,152.72,51.52,33.73494,0,1,"Long (2013),  https://www.cnbc.com/2019/11/21/phoenix-suns-unveil-renderings-of-230-million-arena-renovation-project.html"
Georgia Dome,Atlanta Falcons,1992,200,200,368,368,100,1,0,Long (2013)
Oriole Park at Camden Yards,Baltimore Orioles,1992,106,97,195.03999,178.48,91.509438,1,0,"Long (2013), https://www.baltimoresun.com/politics/bs-md-pol-orioles-ravens-stadiums-20220202-m6pek4xuircktpy454upsaycye-story.html (Equal split to  Os & Rs)"
Alamodome,San Antonio Spurs,1993,175,147,313.25,263.13,84,0,1,Long (2013)
Honda Center,Anaheim Ducks,1993,123,123,220.17,220.17,100,0,1,Long (2013)
SAP Center,San Jose Sharks,1993,163,133,291.76999,238.07001,81.595093,0,1,Long (2013)
